pk_vaw;short_name;name;river_level_3;river_level_2;river_level_1;river_level_0;inventory_number;pk
1;rhone;Rhonegletscher;B;4;3;;3;85A9E31E-D58C-11E6-9DB2-6805CA3E30C8
2;mutt;Muttgletscher;B;4;4;;3;85AD8C9E-D58C-11E6-A6EA-6805CA3E30C8
4;fiescher;Fieschergletscher;B;4;0;;7;85ADB3B0-D58C-11E6-A974-6805CA3E30C8
5;aletsch;Grosser Aletschgletscher;B;3;6;;26;85ADB3B1-D58C-11E6-AAB1-6805CA3E30C8
6;oberaletsch;Oberaletschgletscher;B;3;6;;1;85ADDAC0-D58C-11E6-848B-6805CA3E30C8
7;kaltwasser;Chaltwassergletscher;B;4;7;;4;85ADDAC1-D58C-11E6-BC6B-6805CA3E30C8
8;taelliboden;Tällibodengletscher;B;5;2;;20;85ADDAC2-D58C-11E6-A4F0-6805CA3E30C8
9;ofental;Ofentalgletscher;B;5;2;;17;85AFAF80-D58C-11E6-A651-6805CA3E30C8
10;schwarzberg;Schwarzberggletscher;B;5;2;;24;85AFD68F-D58C-11E6-BF7F-6805CA3E30C8
11;allalin;Allalingletscher;B;5;2;;66;85AFD690-D58C-11E6-8A03-6805CA3E30C8
12;kessjen;Chessjengletscher;B;5;2;;33;85B024AE-D58C-11E6-B916-6805CA3E30C8
13;fee;Feegletscher;B;5;3;;4;85B072CF-D58C-11E6-BDDB-6805CA3E30C8
14;gorner;Gornergletscher;B;5;6;;7;85B072D0-D58C-11E6-9CD6-6805CA3E30C8
15;zmutt;Zmuttgletscher;B;5;7;;5;85B072D1-D58C-11E6-8502-6805CA3E30C8
16;findelen;Findelengletscher;B;5;6;;3;85B099DE-D58C-11E6-BC58-6805CA3E30C8
17;ried;Riedgletscher;B;5;4;;3;85B099DF-D58C-11E6-92DD-6805CA3E30C8
18;lang;Langgletscher;B;3;1;;4;85B0C0F0-D58C-11E6-AF86-6805CA3E30C8
19;turtmann;Turtmanngletscher;B;6;0;;9;85B0E800-D58C-11E6-BBA8-6805CA3E30C8
20;brunegg;Brunegggletscher;B;6;0;;20;85B10F0F-D58C-11E6-993D-6805CA3E30C8
21;bellatola;Bella Tola Gletscher;B;6;1;;2;85B10F10-D58C-11E6-86A3-6805CA3E30C8
