pk;fk_glacier;fk_mass_balance_glacier_type;date_annual_from;date_annual_to;date_winter_start;date_winter_end;winter_mass_balance;annual_mass_balance;equilibrium_line_altitude;accumulation_area_ratio
101a5b6b-913a-4858-8cf2-bb7839b4e499;5;1;1939-10-01;1940-09-30;1939-10-01;1940-09-30;434;897;2605;80
a9470d45-adcf-4db1-902d-e8d23354de38;5;1;1940-10-01;1941-09-30;1940-10-01;1941-09-30;482;-919;3155;48
6a85805d-3ff6-4eb0-9c7b-362621f2187e;5;1;1941-10-01;1942-09-30;1941-10-01;1942-09-30;641;-1323;3205;44
1f5a1b51-56bc-4b87-b093-f1b8e2826081;5;1;1942-10-01;1943-09-30;1942-10-01;1943-09-30;474;-1203;3155;48
98f1d896-8179-43fd-bb41-c867364d9290;5;1;1943-10-01;1944-09-30;1943-10-01;1944-09-30;419;-1316;3205;44
ec9f3e75-a1fd-490e-8d03-8a0116f4bf0e;5;1;1944-10-01;1945-09-30;1944-10-01;1945-09-30;1202;-612;3055;55
607eea7d-c3ea-43e6-beff-4dd1d8f944af;5;1;1945-10-01;1946-09-30;1945-10-01;1946-09-30;963;-321;2905;65
67929d60-c8ba-40e5-a5a0-dba10b13141c;5;1;1946-10-01;1947-09-30;1946-10-01;1947-09-30;413;-1838;3305;35
fe8d33f6-4677-4dcd-82e5-75ea1a2a6c34;5;1;1947-10-01;1948-09-30;1947-10-01;1948-09-30;742;437;2805;71
be22a687-6854-4f96-a7fe-f8405d2eef53;5;1;1948-10-01;1949-09-30;1948-10-01;1949-09-30;316;-1039;3105;51
aa29ae67-4278-4e34-abc0-65b67ca828ec;5;1;1949-10-01;1950-09-30;1949-10-01;1950-09-30;504;-2043;3305;35
a39285b5-4b6a-499b-a178-c524eeb8669f;5;1;1950-10-01;1951-09-30;1950-10-01;1951-09-30;1056;-207;2905;65
5428e7b0-9462-4fb3-ad96-014d1c024696;5;1;1951-10-01;1952-09-30;1951-10-01;1952-09-30;890;-881;3055;55
e8bca7ef-1351-4404-b0d0-c78d456b540f;5;1;1952-10-01;1953-09-30;1952-10-01;1953-09-30;983;-396;3005;58
78fd47be-506d-440c-8919-60434ca9ed7e;5;1;1953-10-01;1954-09-30;1953-10-01;1954-09-30;714;-542;2955;61
4e824cde-1a73-424b-9d41-dd7bba2f41a3;5;1;1954-10-01;1955-09-30;1954-10-01;1955-09-30;823;-12;2905;65
c24aca30-43ba-4c53-a4d0-1590ee1c2f14;5;1;1955-10-01;1956-09-30;1955-10-01;1956-09-30;830;-283;2955;61
913569ec-6ea7-4c12-8f69-437aeac60a9e;5;1;1956-10-01;1957-09-30;1956-10-01;1957-09-30;665;-478;2955;62
fcaddd06-41ca-409c-9f17-e880d33cfde5;5;1;1957-10-01;1958-09-30;1957-10-01;1958-09-30;927;-615;3055;55
aee3e4c9-7804-42b3-8dbc-392cd5d2015f;5;1;1958-10-01;1959-09-30;1958-10-01;1959-09-30;645;-955;3105;53
44e48471-3159-4e9b-af5f-ca42c9c041e5;5;1;1959-10-01;1960-09-30;1959-10-01;1960-09-30;775;-153;2955;63
67eca024-7e81-47d3-80b9-e9cf3211a1ac;5;1;1960-10-01;1961-09-30;1960-10-01;1961-09-30;788;-56;2855;68
124d962a-df5b-48b1-b3b1-644ad7b8addb;5;1;1961-10-01;1962-09-30;1961-10-01;1962-09-30;1212;-558;3005;59
2649d95e-3ba0-4a3b-9f0b-5766d3bca0d4;5;1;1962-10-01;1963-09-30;1962-10-01;1963-09-30;804;-662;3055;56
33e59f5c-272c-4997-b374-532fbde67c9c;5;1;1963-10-01;1964-09-30;1963-10-01;1964-09-30;686;-1195;3155;49
e8dd0941-3b65-4d67-90cd-7dd069e96676;5;1;1964-10-01;1965-09-30;1964-10-01;1965-09-30;963;501;2855;68
98e476b5-efec-4292-8147-030d37ee24b5;5;1;1965-10-01;1966-09-30;1965-10-01;1966-09-30;962;258;2855;68
9c789320-82ad-483d-a78d-033439e11fc5;5;1;1966-10-01;1967-09-30;1966-10-01;1967-09-30;820;-489;3005;59
fd7400a3-f9a0-4c55-9fc8-a84837441d7f;5;1;1967-10-01;1968-09-30;1967-10-01;1968-09-30;369;-9;2855;68
9748a73d-5cdd-44b5-a729-63359d86b5fa;5;1;1968-10-01;1969-09-30;1968-10-01;1969-09-30;593;-5;2855;68
ad3c94bd-14dd-436b-8dac-ccb97b7bfef5;5;1;1969-10-01;1970-09-30;1969-10-01;1970-09-30;783;-371;3005;59
967667a3-ecf9-4372-8e6d-354e70234f89;5;1;1970-10-01;1971-09-30;1970-10-01;1971-09-30;565;-1038;3105;53
7667f01d-40fd-4c01-88af-fcd07fa65874;5;1;1971-10-01;1972-09-30;1971-10-01;1972-09-30;624;-313;2955;63
a7f8a876-4ce3-48c3-ba27-a107f5b0eab3;5;1;1972-10-01;1973-09-30;1972-10-01;1973-09-30;627;-799;3105;52
38acbccd-4b49-4bd5-89ca-e776974ce4d6;5;1;1973-10-01;1974-09-30;1973-10-01;1974-09-30;701;-249;2955;63
77183f51-606d-4964-b5aa-3ee7b4d81e58;5;1;1974-10-01;1975-09-30;1974-10-01;1975-09-30;918;396;2805;72
