pk;fk_glacier;fk_mass_balance_glacier_type;date_annual_from;date_annual_to;date_winter_start;date_winter_end;winter_mass_balance;annual_mass_balance;equilibrium_line_altitude;accumulation_area_ratio
c0ce3722-fede-4cff-85b1-4269c748c9ff;11;1;1955-10-01;1956-09-30;1955-10-01;1956-09-30;1012;233;3135;73
3769affd-6273-4cb0-a87a-5a09ca5589c8;11;1;1956-10-01;1957-09-30;1956-10-01;1957-09-30;1012;333;3075;78
64a8a81c-dad2-4fea-8e1e-25096ec8c533;11;1;1957-10-01;1958-09-30;1957-10-01;1958-09-30;1190;-369;3365;45
e792d241-d979-4bdd-af1f-5c42baf5b9c1;11;1;1958-10-01;1959-09-30;1958-10-01;1959-09-30;1172;75;3215;67
0af798e3-8c43-4f58-acf6-a5c6fe2c39eb;11;1;1959-10-01;1960-09-30;1959-10-01;1960-09-30;1162;583;3055;80
bd1e0bb0-394f-4e53-b066-c07fad92f82f;11;1;1960-10-01;1961-09-30;1960-10-01;1961-09-30;1410;-295;3375;44
6c2f177b-8d05-4cc9-a5db-67f3772f8ffc;11;1;1961-10-01;1962-09-30;1961-10-01;1962-09-30;1063;338;3065;79
d5fb0165-fb4e-4db4-82fd-c3b55264cebf;11;1;1962-10-01;1963-09-30;1962-10-01;1963-09-30;1168;133;3215;67
c92693ba-4e8c-47f3-9257-359851ddb786;11;1;1963-10-01;1964-09-30;1963-10-01;1964-09-30;1091;404;3065;79
91933484-0435-462e-a6fb-c21c2a9fbd54;11;1;1964-10-01;1965-09-30;1964-10-01;1965-09-30;906;222;3175;70
9ef76247-829c-4ce7-b9fa-6b0cf06894d9;11;1;1965-10-01;1966-09-30;1965-10-01;1966-09-30;1146;18;3255;60
79c44ac1-d92b-4967-94f8-953338efd206;11;1;1966-10-01;1967-09-30;1966-10-01;1967-09-30;1076;350;3085;78
706e7e91-8bad-4327-ab53-c5bc90a986ef;11;1;1967-10-01;1968-09-30;1967-10-01;1968-09-30;575;179;3125;74
79e95f40-8f8f-45e3-8825-c9bd08e125ec;11;1;1968-10-01;1969-09-30;1968-10-01;1969-09-30;1381;546;2995;84
315c3b40-8e4a-4038-87e4-1e4b63556ace;11;1;1969-10-01;1970-09-30;1969-10-01;1970-09-30;794;-137;3295;54
9a9eb5da-14ce-453c-bae0-8bd9a717364c;11;1;1970-10-01;1971-09-30;1970-10-01;1971-09-30;771;-121;3275;58
1b68e691-b255-495b-9e96-7f26fb71b73d;11;1;1971-10-01;1972-09-30;1971-10-01;1972-09-30;988;303;3075;78
0e479a18-028f-49dd-9562-5bfd8f96ac3a;11;1;1972-10-01;1973-09-30;1972-10-01;1973-09-30;824;-270;3305;51
672eccce-1d2f-4745-b149-cac299a79f66;11;1;1973-10-01;1974-09-30;1973-10-01;1974-09-30;1196;501;2995;84
d4bec7bf-39c5-46b7-bc81-faf78fb84128;11;1;1974-10-01;1975-09-30;1974-10-01;1975-09-30;969;-242;3315;50
4865fe0d-384d-4f85-a4a2-9489cc133ecc;11;1;1975-10-01;1976-09-30;1975-10-01;1976-09-30;924;36;3165;69
68501d54-a5c3-4832-ab44-a584ed5c773e;11;1;1976-10-01;1977-09-30;1976-10-01;1977-09-30;2153;1730;2505;99
94f6fca2-6acf-4f71-b8e9-277503486971;11;1;1977-10-01;1978-09-30;1977-10-01;1978-09-30;1807;1168;2875;91
a3a47356-04dd-489e-8e82-87e6eaeb9434;11;1;1978-10-01;1979-09-30;1978-10-01;1979-09-30;808;-271;3315;49
83de206f-90e9-4ed6-af15-0386aa5ffbf9;11;1;1979-10-01;1980-09-30;1979-10-01;1980-09-30;1526;576;2995;82
8f8412ca-ccfd-47a8-97af-189b1d5e67f8;11;1;1980-10-01;1981-09-30;1980-10-01;1981-09-30;1043;291;3085;76
9e330243-7f94-496b-a3ae-3922c0ef62f2;11;1;1981-10-01;1982-09-30;1981-10-01;1982-09-30;1116;-873;3425;37
fbc76b30-55c8-4f75-ad66-a07f44c2a69c;11;1;1982-10-01;1983-09-30;1982-10-01;1983-09-30;1430;-407;3445;34
0233ffd5-7485-4b6b-9297-88f1a642e4be;11;1;1983-10-01;1984-09-30;1983-10-01;1984-09-30;873;242;3075;77
4fe80f74-882e-43ee-adf4-9823a1ce904e;11;1;1984-10-01;1985-09-30;1984-10-01;1985-09-30;1072;-900;3665;16
f03eb973-2cb0-46d4-92e9-c4c55ff7670a;11;1;1985-10-01;1986-09-30;1985-10-01;1986-09-30;1622;-453;3375;41
8e57031d-5345-40cf-8ef5-6e3fc89cce3a;11;1;1986-10-01;1987-09-30;1986-10-01;1987-09-30;651;-1268;3925;4
a50a918a-c957-43a6-bbfc-482f59a3be68;11;1;1987-10-01;1988-09-30;1987-10-01;1988-09-30;1165;-234;3315;50
6e32fc4b-0d2b-4824-84be-2818d9d462fc;11;1;1988-10-01;1989-09-30;1988-10-01;1989-09-30;970;-635;3465;32
878a5409-786a-4967-abd6-a7832e95384d;11;1;1989-10-01;1990-09-30;1989-10-01;1990-09-30;592;-1413;4055;1
cff1bd7f-aa0e-4ad6-963b-c153cb6b95b3;11;1;1990-10-01;1991-09-30;1990-10-01;1991-09-30;1308;-1120;3765;10
b7744aa6-db5f-44e6-bad2-72f246c54eb0;11;1;1991-10-01;1992-09-30;1991-10-01;1992-09-30;981;-311;3305;52
2c3e15b4-34a5-4231-9c55-2449c59215ba;11;1;1992-10-01;1993-09-30;1992-10-01;1993-09-30;1380;755;2955;86
cb1b22f2-f1fb-4623-8c09-6d923c45f587;11;1;1993-10-01;1994-09-30;1993-10-01;1994-09-30;1153;-871;3495;29
6fc5b161-4e2b-40f1-b7c0-ad69e0b2ab49;11;1;1994-10-01;1995-09-30;1994-10-01;1995-09-30;1239;620;2985;84
011366df-779a-4794-a6fb-bae20ab90522;11;1;1995-10-01;1996-09-30;1995-10-01;1996-09-30;542;-413;3355;45
40aec785-1cb5-49bf-9f7a-990040e9ca64;11;1;1996-10-01;1997-09-30;1996-10-01;1997-09-30;859;-271;3315;50
95fd7d04-7d59-491d-8b51-6c6b92dbe70f;11;1;1997-10-01;1998-09-30;1997-10-01;1998-09-30;444;-1201;3805;9
df001b28-0fc0-4f35-9deb-b17e9b879037;11;1;1998-10-01;1999-09-30;1998-10-01;1999-09-30;1014;-226;3315;50
0ba78494-a2a5-4d4d-9315-1edcde03fe98;11;1;1999-10-01;2000-09-30;1999-10-01;2000-09-30;834;-64;3265;59
e3210ba2-68a4-427f-92a7-202c30d83384;11;1;2000-10-01;2001-09-30;2000-10-01;2001-09-30;800;411;3105;77
