pk;fk_glacier;fk_mass_balance_glacier_type;date_annual_from;date_annual_to;date_winter_start;date_winter_end;winter_mass_balance;annual_mass_balance;equilibrium_line_altitude;accumulation_area_ratio
3c3d3ccf-56ca-4c6f-9cb3-2180f7f87a7e;104;1;1991-10-01;1992-09-30;1991-10-01;1992-09-30;1073;-38;2795;63
206f4496-7f86-462e-b32a-cf99df0d692d;104;1;1992-10-01;1993-09-30;1992-10-01;1993-09-30;1574;-242;2855;52
eaebedae-6976-4fbc-8c2c-b47d75949102;104;1;1993-10-01;1994-09-30;1993-10-01;1994-09-30;1971;5;2815;59
3ecdc4db-ff91-42b6-8c56-3f6043a3299f;104;1;1994-10-01;1995-09-30;1994-10-01;1995-09-30;1544;260;2775;69
adf2218b-5b44-48d6-a936-7f7338377c2e;104;1;1995-10-01;1996-09-30;1995-10-01;1996-09-30;781;-366;2915;39
29e29b00-1e80-4d90-a1f6-94ff840c2cf3;104;1;1996-10-01;1997-09-30;1996-10-01;1997-09-30;1491;-471;2925;41
094cf14b-fb97-4707-b419-13884845481f;104;1;1997-10-01;1998-09-30;1997-10-01;1998-09-30;1372;-992;3115;3
423ec7ef-a2a5-489e-9279-c1afae0aa062;104;1;1998-10-01;1999-09-30;1998-10-01;1999-09-30;1508;-861;3095;4
dbbf9afe-473a-4e62-a921-d29055a27a3b;104;1;1999-10-01;2000-09-30;1999-10-01;2000-09-30;1704;-1176;3135;1
9c2d5044-20d4-4504-8707-5e68da609e89;104;1;2000-10-01;2001-09-30;2000-10-01;2001-09-30;2172;1018;2585;99
2d0576af-ed4b-4345-ae11-2d4d07d4f51d;104;1;2001-10-01;2002-09-30;2001-10-01;2002-09-30;661;-614;2965;30
eaf914a0-e751-42f3-84a5-ffe04429aeba;104;1;2002-10-01;2003-09-30;2002-10-01;2003-09-30;1436;-2403;3195;0
099f731c-6317-4505-beef-d15567dcf18f;104;1;2003-10-01;2004-09-30;2003-10-01;2004-09-30;1452;-619;3055;10
9f3be7a4-38a0-4934-96ca-be844e1c952a;104;1;2004-10-01;2005-09-30;2004-10-01;2005-09-30;1349;-1405;3195;0
c861a96f-e4aa-4e7a-812b-e324c38f7705;104;1;2005-10-01;2006-09-30;2005-10-01;2006-09-30;953;-1686;3195;0
49786870-e48a-4faa-b678-fe7701fe6670;104;1;2006-10-01;2007-09-30;2006-10-01;2007-09-30;812;-1172;3185;0
50d401c8-5dd2-480a-a6a4-3dc3ef9ab55b;104;1;2007-10-01;2008-09-30;2007-10-01;2008-09-30;951;-697;3105;2
f37b351a-9437-4478-adcb-f87f96294760;104;1;2008-10-01;2009-09-30;2008-10-01;2009-09-30;2282;287;2745;83
5a98582c-bc02-4831-9cb6-e3c04aa45aaf;104;1;2009-10-01;2010-09-30;2009-10-01;2010-09-30;1011;-520;2965;30
31e97a9b-7ec6-4a54-a5d3-8bd7ebb1307a;104;1;2010-10-01;2011-09-30;2010-10-01;2011-09-30;1070;-1307;3175;0
6db3ad5e-7d83-4897-a03c-553b0155ac61;104;1;2011-10-01;2012-09-30;2011-10-01;2012-09-30;1246;-986;3115;2
9ccad396-b59a-49b8-a5a0-fe3e5614a067;104;1;2012-10-01;2013-09-30;2012-10-01;2013-09-30;1552;8;2855;60
b189813b-c0e1-4779-9ad2-0a2d8f854502;104;1;2013-10-01;2014-09-30;2013-10-01;2014-09-30;1820;-51;2885;52
b72e6556-553c-4d08-86e5-43177a78a25e;104;1;2014-10-01;2015-09-30;2014-10-01;2015-09-30;1608;-1278;3145;0
