pk;fk_glacier;fk_mass_balance_glacier_type;date_annual_from;date_annual_to;date_winter_start;date_winter_end;winter_mass_balance;annual_mass_balance;equilibrium_line_altitude;accumulation_area_ratio
82a21c87-aedd-4ae6-81b7-0e9f6933a694;38;1;1996-10-01;1997-09-30;1996-10-01;1997-09-30;968;-544;3245;49
a91b51cd-e41c-4bb5-aa5b-7d6305370a08;38;1;1997-10-01;1998-09-30;1997-10-01;1998-09-30;690;-1215;3525;17
43b88eaf-53a2-4838-91ce-e2a2468cd221;38;1;1998-10-01;1999-09-30;1998-10-01;1999-09-30;1250;159;2925;73
66853717-1ef7-4dc4-92c0-fa705d7044c6;38;1;1999-10-01;2000-09-30;1999-10-01;2000-09-30;974;-343;3095;61
f2eb8871-3fd1-4941-9a4f-27452d4ab0e4;38;1;2000-10-01;2001-09-30;2000-10-01;2001-09-30;1583;535;2815;79
9f289848-e619-42ac-b176-c6ff2a94234f;38;1;2001-10-01;2002-09-30;2001-10-01;2002-09-30;494;-414;3115;58
d46a3728-2f82-4a28-b3ec-e78d379437bb;38;1;2002-10-01;2003-09-30;2002-10-01;2003-09-30;1066;-1256;3465;21
9f8024b0-af5c-4a3b-babf-c08005ee92dd;38;1;2003-10-01;2004-09-30;2003-10-01;2004-09-30;1170;-558;3275;46
00d8d606-b3c9-4d75-9748-3db414f87a05;38;1;2004-10-01;2005-09-30;2004-10-01;2005-09-30;827;-894;3325;40
5e0d33a8-ed87-47d5-8e76-b3bdc2241ea6;38;1;2005-10-01;2006-09-30;2005-10-01;2006-09-30;620;-3565;3875;6
ead4a961-6ffc-4020-8d8e-e559d5d1ffb8;38;1;2006-10-01;2007-09-30;2006-10-01;2007-09-30;774;-368;3105;58
db124210-b681-4a88-9319-dc229de789a5;38;1;2007-10-01;2008-09-30;2007-10-01;2008-09-30;710;-998;3395;28
e79b8c86-38f2-4fd1-9c77-ed86733e9e68;38;1;2008-10-01;2009-09-30;2008-10-01;2009-09-30;1406;-1056;3395;29
3f2a8fec-bff3-4ae5-94b3-32c0890f0f8b;38;1;2009-10-01;2010-09-30;2009-10-01;2010-09-30;661;-866;3385;30
3b8349fc-c1ab-40fb-959d-488fa2a1d133;38;1;2010-10-01;2011-09-30;2010-10-01;2011-09-30;689;-1419;3505;19
3f4cd205-dc06-478c-a06a-308fd23cb0d7;38;1;2011-10-01;2012-09-30;2011-10-01;2012-09-30;1021;-789;3375;33
1ed83c3d-3edf-48bd-b8b2-5acb9f33f37f;38;1;2012-10-01;2013-09-30;2012-10-01;2013-09-30;1134;-309;3125;59
1ac65251-0c94-4a40-a94f-099eddb4bee1;38;1;2013-10-01;2014-09-30;2013-10-01;2014-09-30;1164;-118;3085;63
7d49d5f8-1e0d-490f-9bfd-ca70a32d7d26;38;1;2014-10-01;2015-09-30;2014-10-01;2015-09-30;611;-1330;3535;17
1d8f0fb3-5f02-4002-a93e-523a0f639837;38;1;2015-10-01;2016-09-30;2015-10-01;2016-09-30;1185;-439;3255;50
