pk;fk_glacier;fk_mass_balance_glacier_type;date_annual_from;date_annual_to;date_winter_start;date_winter_end;winter_mass_balance;annual_mass_balance;equilibrium_line_altitude;accumulation_area_ratio
60e40928-2ce4-4c99-abdf-c3e6c9f77354;16;1;2004-10-01;2005-09-30;2004-10-01;2005-09-30;914;-473;3265;57
de87c773-b486-4d97-9681-95274f65d7c9;16;1;2005-10-01;2006-09-30;2005-10-01;2006-09-30;781;-680;3305;52
69ed662f-4d4b-4b71-a523-73ad2c4d9d95;16;1;2006-10-01;2007-09-30;2006-10-01;2007-09-30;374;-280;3225;63
1ed2df0e-e1da-483c-9d4b-8fbceda0be42;16;1;2007-10-01;2008-09-30;2007-10-01;2008-09-30;602;-787;3355;46
5fcb9217-3e65-4768-ae99-169d0436ed4a;16;1;2008-10-01;2009-09-30;2008-10-01;2009-09-30;1594;-199;3245;61
4af39951-5176-4258-879f-ab45d66a5f3e;16;1;2009-10-01;2010-09-30;2009-10-01;2010-09-30;759;-555;3295;54
55feabf1-188b-46f3-ab4b-b7f8ff92e548;16;1;2010-10-01;2011-09-30;2010-10-01;2011-09-30;875;-863;3375;43
fd036213-074b-47ca-af32-2d5f5d77ec12;16;1;2011-10-01;2012-09-30;2011-10-01;2012-09-30;1203;-646;3345;48
6fca2cb4-a0a7-41e7-b119-a6f68b04fd62;16;1;2012-10-01;2013-09-30;2012-10-01;2013-09-30;1206;146;3235;63
c6c9db54-32cb-4f0a-b73c-c42fed38d2f3;16;1;2013-10-01;2014-09-30;2013-10-01;2014-09-30;1415;169;3205;67
7ea7013c-9d43-4cc3-b7a5-eb6b2fe2a49d;16;1;2014-10-01;2015-09-30;2014-10-01;2015-09-30;1203;-590;3315;52
3429db84-8f59-4f3c-a274-f0164ebc4b1f;16;1;2015-10-01;2016-09-30;2015-10-01;2016-09-30;1021;-746;3395;40
