pk;fk_glacier;fk_mass_balance_glacier_type;date_annual_from;date_annual_to;date_winter_start;date_winter_end;winter_mass_balance;annual_mass_balance;equilibrium_line_altitude;accumulation_area_ratio
6c67974f-f5c2-48b9-bdd9-7a65f226f9d4;37;1;1966-10-01;1967-09-30;1966-10-01;1967-09-30;1031;2;3085;75
bee1699b-fb99-4c49-b82e-20c349d7e2ef;37;1;1967-10-01;1968-09-30;1967-10-01;1968-09-30;620;592;2985;89
af56ce05-b3ae-4cb1-a85d-7ab5ba472e7c;37;1;1968-10-01;1969-09-30;1968-10-01;1969-09-30;901;-129;3095;73
47332353-b8ec-4eff-860a-5437c74d65ae;37;1;1969-10-01;1970-09-30;1969-10-01;1970-09-30;1056;-57;3105;72
aba0d4fc-9c56-49d8-84e8-361330be2f60;37;1;1970-10-01;1971-09-30;1970-10-01;1971-09-30;624;-711;3375;9
e98cc58a-32ae-44ab-a14f-27648f3aa21f;37;1;1971-10-01;1972-09-30;1971-10-01;1972-09-30;663;-169;3155;67
c1521317-82c5-4740-84d9-890fca691d31;37;1;1972-10-01;1973-09-30;1972-10-01;1973-09-30;778;-1406;3495;3
c167253c-194c-4481-bbf3-1f36d5a09e52;37;1;1973-10-01;1974-09-30;1973-10-01;1974-09-30;704;166;3065;81
6894d3d1-ed0b-4e9f-b123-d863b3162191;37;1;1974-10-01;1975-09-30;1974-10-01;1975-09-30;1220;-198;3145;68
2444db63-75bd-443c-b639-67edd34301ee;37;1;1975-10-01;1976-09-30;1975-10-01;1976-09-30;694;-811;3375;7
a2943bd1-3b8f-472b-90a9-2b90b13b6afd;37;1;1976-10-01;1977-09-30;1976-10-01;1977-09-30;1508;753;2975;89
440d5cc3-3d27-4696-9185-b544a054ee8a;37;1;1977-10-01;1978-09-30;1977-10-01;1978-09-30;1464;633;2975;89
2431d4c2-e6fe-4dea-9495-2f59742fd8e8;37;1;1978-10-01;1979-09-30;1978-10-01;1979-09-30;1112;-417;3245;45
aa79c03c-1792-4237-8d96-ab985cbef514;37;1;1979-10-01;1980-09-30;1979-10-01;1980-09-30;1255;878;2925;92
bf99478f-8340-4486-a61d-5b81e10b68ac;37;1;1980-10-01;1981-09-30;1980-10-01;1981-09-30;1302;581;2995;88
074745d8-1334-4d3e-a752-e21728943101;37;1;1981-10-01;1982-09-30;1981-10-01;1982-09-30;1404;-757;3335;18
1ea3f325-127b-4bd1-a73b-88fb7f66a194;37;1;1982-10-01;1983-09-30;1982-10-01;1983-09-30;1347;-541;3315;23
f815b3c0-d4da-4dda-a839-45c81850e16b;37;1;1983-10-01;1984-09-30;1983-10-01;1984-09-30;687;-37;3085;73
11bf59f6-0e5b-4e2f-b23a-dfdee2d416c5;37;1;1984-10-01;1985-09-30;1984-10-01;1985-09-30;1015;-499;3305;27
ce79f45d-3bce-4902-8f59-f6e9f1702626;37;1;1985-10-01;1986-09-30;1985-10-01;1986-09-30;1315;-586;3255;44
d899c243-e0a2-4738-9e31-cdc9a5e45103;37;1;1986-10-01;1987-09-30;1986-10-01;1987-09-30;1000;-296;3215;54
2f0ccf27-1ca8-47c0-8269-f10a6a5e787b;37;1;1987-10-01;1988-09-30;1987-10-01;1988-09-30;1454;-6;3145;69
0759a4bd-d934-4a14-afc9-693866cefdf2;37;1;1988-10-01;1989-09-30;1988-10-01;1989-09-30;1190;-559;3255;43
422df6d8-c7e7-4bb0-ae81-c1cdb340716c;37;1;1989-10-01;1990-09-30;1989-10-01;1990-09-30;974;-145;3185;61
d699b6c6-de52-4b5a-ac0d-156392580eca;37;1;1990-10-01;1991-09-30;1990-10-01;1991-09-30;1275;-1528;3375;11
52c9f169-9078-48f7-a96f-5e8b211c469f;37;1;1991-10-01;1992-09-30;1991-10-01;1992-09-30;979;-297;3235;49
4c560c5c-7287-4936-bb89-5f456bb22498;37;1;1992-10-01;1993-09-30;1992-10-01;1993-09-30;1369;-109;3175;64
4d0f79c9-78d3-4cdf-8c87-81176920a8b4;37;1;1993-10-01;1994-09-30;1993-10-01;1994-09-30;1305;-388;3255;42
