pk;fk_glacier;fk_mass_balance_glacier_type;date_annual_from;date_annual_to;date_winter_start;date_winter_end;winter_mass_balance;annual_mass_balance;equilibrium_line_altitude;accumulation_area_ratio
abeaef9b-313a-44b2-a3d0-1a7e28b165ae;3;1;1961-10-01;1962-09-30;1961-10-01;1962-09-30;1008;-984;3272;4
feb84a72-7068-4406-95e5-416d23785431;3;1;1962-10-01;1963-09-30;1962-10-01;1963-09-30;1269;-180;2822;60
58f1abea-006c-4a89-9c5c-207fba04fe65;3;1;1963-10-01;1964-09-30;1963-10-01;1964-09-30;1666;-688;2912;44
0bc70f33-1efd-4ae4-a7e3-5192fde12f16;3;1;1964-10-01;1965-09-30;1964-10-01;1965-09-30;846;445;2662;70
020910da-7084-4404-b456-fd5e97263f9d;3;1;1965-10-01;1966-09-30;1965-10-01;1966-09-30;845;-357;2807;61
e208f72e-e4f7-4d6e-8b85-5202655e2d4e;3;1;1966-10-01;1967-09-30;1966-10-01;1967-09-30;1475;29;2757;68
8314ae85-1e01-42ea-a8de-88995a7dc767;3;1;1967-10-01;1968-09-30;1967-10-01;1968-09-30;1124;379;2667;74
69fe4aca-83f8-4680-8f15-fcfcd0facf07;3;1;1968-10-01;1969-09-30;1968-10-01;1969-09-30;1503;733;2622;80
868d13a8-99d6-43e8-8c29-c4790d66bd72;3;1;1969-10-01;1970-09-30;1969-10-01;1970-09-30;1471;-758;3072;23
368789fc-3cba-4118-af3a-d5daaeaa76e9;3;1;1970-10-01;1971-09-30;1970-10-01;1971-09-30;1449;-527;2892;45
02601d86-0654-42ac-b19f-dbae4f1c96ad;3;1;1971-10-01;1972-09-30;1971-10-01;1972-09-30;1283;408;2657;74
77c62c2e-8715-4c27-b149-9e61f1347cae;3;1;1972-10-01;1973-09-30;1972-10-01;1973-09-30;771;-1095;3127;8
cd2a6720-c8c8-4744-8726-ba094c7b2d47;3;1;1973-10-01;1974-09-30;1973-10-01;1974-09-30;1509;-178;2812;61
f7decb10-20b2-4976-b27a-e543e70ae40c;3;1;1974-10-01;1975-09-30;1974-10-01;1975-09-30;1565;378;2722;71
ca689c1f-a736-46c9-a687-45234435ab2f;3;1;1975-10-01;1976-09-30;1975-10-01;1976-09-30;684;-1021;3052;25
90b958ac-fa6c-4633-91ee-c2e00174dd88;3;1;1976-10-01;1977-09-30;1976-10-01;1977-09-30;1808;1166;2522;94
d583ee97-715e-4590-99ab-647836bc9dc4;3;1;1977-10-01;1978-09-30;1977-10-01;1978-09-30;2165;1056;2617;81
2d5a215b-a582-4365-9e0b-9cdda01a71cb;3;1;1978-10-01;1979-09-30;1978-10-01;1979-09-30;1128;-885;3087;16
b805e563-96b4-43a9-9284-2c66b6eadc71;3;1;1979-10-01;1980-09-30;1979-10-01;1980-09-30;1449;570;2662;75
87297e62-e10f-4ef8-9426-e589245d2ede;3;1;1980-10-01;1981-09-30;1980-10-01;1981-09-30;952;-324;2917;54
b1db8fba-56de-4fcb-b9b0-10e11425ba96;3;1;1981-10-01;1982-09-30;1981-10-01;1982-09-30;1205;-1304;3102;10
68dc6208-06a1-4302-b4d1-c1ea5f427714;3;1;1982-10-01;1983-09-30;1982-10-01;1983-09-30;1314;-779;3052;24
d1354d65-9d47-4c90-940e-6c59f3cd0de7;3;1;1983-10-01;1984-09-30;1983-10-01;1984-09-30;875;-4;2762;61
043dc4e0-3b27-4906-b5c4-0c2aaae4ae8d;3;1;1984-10-01;1985-09-30;1984-10-01;1985-09-30;1070;-526;3067;19
0f0268b8-732a-4a94-bb77-9fcd8dc5beb2;3;1;1985-10-01;1986-09-30;1985-10-01;1986-09-30;1767;-947;3087;11
581a2c81-7553-4056-885a-8622193979de;3;1;1986-10-01;1987-09-30;1986-10-01;1987-09-30;883;-733;3057;21
fe8ddf78-972a-42cc-a887-a7dfc298fd33;3;1;1987-10-01;1988-09-30;1987-10-01;1988-09-30;1244;-924;3042;25
50d897f0-98d8-4c61-a3f3-0b25b5171fb4;3;1;1988-10-01;1989-09-30;1988-10-01;1989-09-30;1439;-1071;3057;20
56ecf6b5-7778-45e3-9382-9dffd417f984;3;1;1989-10-01;1990-09-30;1989-10-01;1990-09-30;1167;-1988;3326;0
0e87f5d1-ef14-4bc1-8361-9ea43e3e6efb;3;1;1990-10-01;1991-09-30;1990-10-01;1991-09-30;1186;-1344;3057;17
258d863f-b08c-4e0c-9036-dae317430435;3;1;1991-10-01;1992-09-30;1991-10-01;1992-09-30;1198;-1125;3047;25
0b3e1f37-5cca-4107-a577-34af8a89c900;3;1;1992-10-01;1993-09-30;1992-10-01;1993-09-30;716;-1052;3087;12
5e47a58d-e1bf-44f5-a1ff-674f5922fcb6;3;1;1993-10-01;1994-09-30;1993-10-01;1994-09-30;1587;-209;2947;51
fdf45e6f-a323-492e-afe7-4c2c15a9f37e;3;1;1994-10-01;1995-09-30;1994-10-01;1995-09-30;1185;-278;2962;49
3a6f8984-c73e-4dac-98d5-e840b27d589a;3;1;1995-10-01;1996-09-30;1995-10-01;1996-09-30;632;-517;2992;39
d1187084-e366-40f8-bcb4-0e3092d69363;3;1;1996-10-01;1997-09-30;1996-10-01;1997-09-30;1598;-1068;3137;9
6ec30216-a5e2-42cf-8e93-8754a9c7c5e3;3;1;1997-10-01;1998-09-30;1997-10-01;1998-09-30;962;-2053;3326;0
04c8af22-6ad8-4fe6-a833-bf8811f75096;3;1;1998-10-01;1999-09-30;1998-10-01;1999-09-30;1676;-564;2952;46
b8ac4fe0-1502-4c81-aeae-0e16bd92199d;3;1;1999-10-01;2000-09-30;1999-10-01;2000-09-30;1392;-985;3037;23
2d1a2a29-4484-4699-bc7f-b48bacc1c785;3;1;2000-10-01;2001-09-30;2000-10-01;2001-09-30;1802;-229;2947;48
b8497f22-12c5-4253-b77c-76e0acec8876;3;1;2001-10-01;2002-09-30;2001-10-01;2002-09-30;876;-990;3047;20
55b2f543-a1ef-4415-ba65-3d78dff856c8;3;1;2002-10-01;2003-09-30;2002-10-01;2003-09-30;1558;-2711;3326;0
ad307339-c392-4a78-b80c-999340785ac1;3;1;2003-10-01;2004-09-30;2003-10-01;2004-09-30;1343;-1146;3326;2
f9039f2f-6589-460f-945e-7e7c14bb25f9;3;1;2004-10-01;2005-09-30;2004-10-01;2005-09-30;1142;-1512;3325;1
299a0d52-9cc3-44a1-a272-51b4312b0e44;3;1;2005-10-01;2006-09-30;2005-10-01;2006-09-30;914;-1995;3325;2
442f6a75-2046-446c-a7ae-ae4f7c837fbe;3;1;2006-10-01;2007-09-30;2006-10-01;2007-09-30;626;-1473;3324;2
0b045378-8d46-43a7-9dc3-f4fdf4667794;3;1;2007-10-01;2008-09-30;2007-10-01;2008-09-30;1073;-1683;3245;1
6f99ddf3-d8f6-4f56-8438-3d9d17b78c9b;3;1;2008-10-01;2009-09-30;2008-10-01;2009-09-30;2156;-815;3055;20
e0769295-ab06-433d-9295-ee3f22dda3ea;3;1;2009-10-01;2010-09-30;2009-10-01;2010-09-30;1138;-1060;3055;20
a21b8a85-3364-4f01-a026-aefa90fcc8a2;3;1;2010-10-01;2011-09-30;2010-10-01;2011-09-30;949;-2010;3255;0
d6c5b6a6-406b-4d19-88c2-96d420e809ff;3;1;2011-10-01;2012-09-30;2011-10-01;2012-09-30;1597;-1849;3255;0
86ebf086-07e6-4d77-a07f-b944384f587a;3;1;2012-10-01;2013-09-30;2012-10-01;2013-09-30;1502;-497;2925;50
0a3ddd2a-fe1e-46ad-951d-df7f78cfe0d8;3;1;2013-10-01;2014-09-30;2013-10-01;2014-09-30;1601;-723;3015;34
488cd910-e2d8-43cc-b48c-e5c87919c5b3;3;1;2014-10-01;2015-09-30;2014-10-01;2015-09-30;1764;-1474;3245;0
0b5f4ee2-7a88-4f20-8b41-b68ab348b0dd;3;1;2015-10-01;2016-09-30;2015-10-01;2016-09-30;1517;-1872;3285;0
