pk;fk_glacier;fk_mass_balance_glacier_type;date_annual_from;date_annual_to;date_winter_start;date_winter_end;winter_mass_balance;annual_mass_balance;equilibrium_line_altitude;accumulation_area_ratio
1b75c15e-f565-4ec5-93c2-576fb411b932;81;1;2006-10-01;2007-09-30;2006-10-01;2007-09-30;975;-1421;2777;1
43473e72-260d-443e-a1d0-a946b91de610;81;1;2007-10-01;2008-09-30;2007-10-01;2008-09-30;1569;-833;2762;3
b29b3dc9-1a9d-4b1e-9f2e-e1756ee812b6;81;1;2008-10-01;2009-09-30;2008-10-01;2009-09-30 ;1723;-1313;2777;1
feed83bc-4054-43ba-a9a4-13171535e6be;81;1;2009-10-01;2010-09-30;2009-10-01;2010-09-30;1103;-711;2757;5
78e9b635-a2eb-4223-9c72-0916eef85012;81;1;2010-10-01;2011-09-30;2010-10-01;2011-09-30;937;-2152;2782;0
3d452dfc-22c7-4c90-ab0b-c8e5ab47af35;81;1;2011-10-01;2012-09-30;2011-10-01;2012-09-30;1970;-1221;2757;5
cfffb2c8-459e-4670-931a-dcfe809b70c4;81;1;2012-10-01;2013-09-30;2012-10-01;2013-09-30;1553;-605;2717;22
3f9abbcd-8f55-4837-981d-178ee4efee03;81;1;2013-10-01;2014-09-30;2013-10-01;2014-09-30;1116;-1253;2772;1
c1e9c720-4a42-415d-ae84-20ddc03d081f;81;1;2014-10-01;2015-09-30;2014-10-01;2015-09-30;1588;-1404;2777;0
b98a3ad2-6eb7-4f8e-ba21-3d8ebfd8a435;81;1;2015-10-01;2016-09-30;2015-10-01;2016-09-30;1686;-717;2727;17
