pk;fk_glacier;fk_mass_balance_glacier_type;date_annual_from;date_annual_to;date_winter_start;date_winter_end;winter_mass_balance;annual_mass_balance;equilibrium_line_altitude;accumulation_area_ratio
4ab7724f-6269-4c96-846e-6d1395901dea;1;1;2006-10-01;2007-09-30;2006-10-01;2007-09-30;1115;56;2835;68
7db97789-a633-4ec6-bea6-34242aee4d2c;1;1;2007-10-01;2008-09-30;2007-10-01;2008-09-30;1265;-966;3035;40
6bf308e1-dbae-4db2-820e-a3b0c814f97b;1;1;2008-10-01;2009-09-30;2008-10-01;2009-09-30;1621;-782;2965;48
ced8f3eb-750e-4043-996e-43699b99d0df;1;1;2009-10-01;2010-09-30;2009-10-01;2010-09-30;1164;-194;2865;63
53b9c410-05c8-449c-bb3f-cffd9347cedb;1;1;2010-10-01;2011-09-30;2010-10-01;2011-09-30;1016;-1655;3155;27
e51a92f5-3823-4d4a-8303-a550cae53eec;1;1;2011-10-01;2012-09-30;2011-10-01;2012-09-30;1501;-925;3045;39
3c3747f7-b46c-420c-a33c-6a2bdf35e9fd;1;1;2012-10-01;2013-09-30;2012-10-01;2013-09-30;1732;-193;2875;61
927556a6-786b-4ffe-ab54-80dea76bdeb1;1;1;2013-10-01;2014-09-30;2013-10-01;2014-09-30;1297;-475;2955;51
ddd0a47c-105d-4bef-ac48-05b7fb3eb832;1;1;2014-10-01;2015-09-30;2014-10-01;2015-09-30;1662;-952;2995;45
e1719b24-c56f-4de4-80c7-4298e04637f2;1;1;2015-10-01;2016-09-30;2015-10-01;2016-09-30;1362;-488;2885;60
