pk;fk_glacier;fk_mass_balance_glacier_type;date_annual_from;date_annual_to;date_winter_start;date_winter_end;winter_mass_balance;annual_mass_balance;equilibrium_line_altitude;accumulation_area_ratio
11a70a74-f17c-4540-95ed-b91d494922de;90;1;1918-10-01;1919-09-30;1918-10-01;1919-09-30;1248;-289;2805;40
c4dfdfd7-3ae5-4233-9438-4d85420dda2e;90;1;1919-10-01;1920-09-30;1919-10-01;1920-09-30;1950;-67;2735;58
ae36ee10-b8d2-4349-9a8f-912f2ab2b15b;90;1;1920-10-01;1921-09-30;1920-10-01;1921-09-30;717;-2339;3075;0
3486b5d2-2beb-4219-aa0f-5d7b4638b180;90;1;1921-10-01;1922-09-30;1921-10-01;1922-09-30;909;14;2715;63
6c1c7286-73b5-4a0c-a2f2-19b3dee59d9f;90;1;1922-10-01;1923-09-30;1922-10-01;1923-09-30;1385;-150;2775;48
983d3e95-ff58-4bf4-afd6-0c99ae9dcb27;90;1;1923-10-01;1924-09-30;1923-10-01;1924-09-30;1230;395;2645;74
4393224c-a174-4dc0-8d73-1885545da489;90;1;1924-10-01;1925-09-30;1924-10-01;1925-09-30;998;224;2675;70
cc62f554-ef9d-41fc-a9cc-25d803451199;90;1;1925-10-01;1926-09-30;1925-10-01;1926-09-30;1857;-458;2785;44
69a3d8eb-6da2-4de3-a29a-82d03cff585b;90;1;1926-10-01;1927-09-30;1926-10-01;1927-09-30;1882;220;2685;68
b37aaec2-224a-4cce-8143-49f5aa0f47b6;90;1;1927-10-01;1928-09-30;1927-10-01;1928-09-30;1130;-2059;3065;0
6910c766-8fa5-4bdb-bcf8-24b1b8ab442e;90;1;1928-10-01;1929-09-30;1928-10-01;1929-09-30;1169;-1336;3005;5
e6255679-5486-4582-80f9-5c9950159e5a;90;1;1929-10-01;1930-09-30;1929-10-01;1930-09-30;883;-382;2815;37
68757876-fb3d-4d54-9480-2c504d761cf3;90;1;1930-10-01;1931-09-30;1930-10-01;1931-09-30;1347;478;2635;76
b406f367-e021-4980-8334-b52f55b2f8e8;90;1;1931-10-01;1932-09-30;1931-10-01;1932-09-30;1034;-1247;3015;4
